************************************************************************
pyfao56: FAO-56 Evapotranspiration in Python
Output Data
Timestamp: 2025-02-11 11:02:59
Simulation start date: 2015-10-29
Simulation end date: 2015-11-08
Soil method: D - Default FAO-56 homogenous soil bucket approach
************************************************************************
Comments: 2015 Fallow -- CSSRI, Karnal
************************************************************************
Year-DOY        Date    Year  DOY  DOW  Day   ETref     ETc  ETcadj       T       E       p      Ks       h      Zr      fc    tKcb     Kcb   Kcmax      Kc   Kcadj      Ke      Kr      fw     few      De     DPe   Irrig IrrLoss    Rain  Runoff      DP     TAW     DAW     RAW    Veff      Vp      Vs      Vr      Ds      Dr     fDr     fDs  theta0      Se       K
2015-302  2015-10-29    2015  302  Thu  0     3.426   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.082   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  75.121   0.000   0.000   0.000   0.000  47.032   0.385   0.000   0.229   0.501   0.004
2015-303  2015-10-30    2015  303  Fri  1     3.716   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.098   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  75.121   0.000   0.000   0.000   0.000  47.032   0.385   0.000   0.229   0.501   0.004
2015-304  2015-10-31    2015  304  Sat  2     3.417   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.080   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  75.121   0.000   0.000   0.000   0.000  47.032   0.385   0.000   0.229   0.501   0.004
2015-305  2015-11-01    2015  305  Sun  3     3.639   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.082   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  75.121   0.000   0.000   0.000   0.000  47.032   0.385   0.000   0.229   0.501   0.004
2015-306  2015-11-02    2015  306  Mon  4     3.578   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.089   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  75.121   0.000   0.000   0.000   0.000  47.032   0.385   0.000   0.229   0.501   0.004
2015-307  2015-11-03    2015  307  Tue  5     3.474   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.097   0.000   0.000   0.000   0.000   1.000   1.000  19.909   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  75.121   0.000   0.000   0.000   0.000  47.032   0.385   0.000   0.229   0.501   0.004
2015-308  2015-11-04    2015  308  Wed  6     3.319   0.000   0.000   0.000   0.000   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.081   0.000   0.000   0.000   0.000   1.000   1.000  19.295   0.000   0.000   0.000   0.615   0.000   0.000 122.153   0.000  97.722  75.736   0.000   0.000   0.000   0.000  46.417   0.380   0.000   0.230   0.504   0.004
2015-309  2015-11-05    2015  309  Thu  7     3.623   0.180   0.180   0.000   0.180   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.123   0.050   0.050   0.050   0.044   1.000   1.000  18.999   0.000   0.000   0.000   0.475   0.000   0.000 122.153   0.000  97.722  76.031   0.000   0.000   0.000   0.000  46.122   0.378   0.000   0.230   0.505   0.004
2015-310  2015-11-06    2015  310  Fri  8     3.013   0.214   0.214   0.000   0.214   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.088   0.071   0.071   0.071   0.065   1.000   1.000  19.181   0.000   0.000   0.000   0.033   0.000   0.000 122.153   0.000  97.722  75.849   0.000   0.000   0.000   0.000  46.304   0.379   0.000   0.230   0.504   0.004
2015-311  2015-11-07    2015  311  Sat  9     3.133   0.178   0.178   0.000   0.178   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.086   0.057   0.057   0.057   0.052   1.000   1.000  19.359   0.000   0.000   0.000   0.000   0.000   0.000 122.153   0.000  97.722  75.671   0.000   0.000   0.000   0.000  46.482   0.381   0.000   0.230   0.503   0.004
2015-312  2015-11-08    2015  312  Sun  10    2.728   0.117   0.117   0.000   0.117   0.800   1.000   1.000   1.000   0.000   0.000   0.000   1.081   0.043   0.043   0.043   0.040   1.000   1.000  19.430   0.000   0.000   0.000   0.045   0.000   0.000 122.153   0.000  97.722  75.600   0.000   0.000   0.000   0.000  46.553   0.381   0.000   0.229   0.503   0.004
